customer_city,payment_value
cruz das almas,2486.5699999999997
serrinha,2481.6
viradouro,2480.93
santa rita do passa quatro,2479.13
quarai,2474.1499999999996
conchal,2464.88
espirito santo do pinhal,2464.28
taquaritinga do norte,2461.9
paraisopolis,2453.2200000000003
sao lourenco do sul,2453.15
barao de cocais,2452.94
bofete,2441.59
varzea da palma,2440.97
campos novos,2438.37
novo progresso,2436.08
igarassu,2420.73
nucleo residencial pilar,2417.94
buritis,2411.2
novo gama,2410.2400000000002
conselheiro pena,2393.18
mucuri,2385.9900000000002
camanducaia,2381.76
lagarto,2362.35
cachoeiras de macacu,2359.41
sacramento,2358.54
ico,2355.35
tres de maio,2334.85
pianco,2324.99
palmital,2323.7799999999997
igarape,2315.96
santo antonio do monte,2315.5299999999997
guanhaes,2313.75
navirai,2313.24
sanharo,2310.0
santa ines,2308.6800000000003
uruacu,2307.27
bombinhas,2305.3
caetite,2300.45
antonina,2285.4
sao mateus do sul,2284.52
cambuci,2279.92
cristalina,2275.49
pirai do sul,2269.97
miguelopolis,2265.5
visconde do rio branco,2265.15
tailandia,2256.46
pompeia,2252.95
nova esperanca do piria,2252.66
caxambu,2245.96
timon,2242.63
santo anastacio,2240.33
paraiso do tocantins,2238.86
cedro de sao joao,2235.98
santa maria de jetiba,2231.06
sao joao batista,2229.69
barra velha,2228.5099999999998
campo belo,2218.31
piracanjuba,2211.4
pombal,2210.2
cesario lange,2209.06
mirassol d'oeste,2207.23
itanhandu,2201.84
goioere,2191.01
santa maria da vitoria,2185.07
cocal do sul,2182.2400000000002
esplanada,2167.2799999999997
morro agudo,2163.5299999999997
porangatu,2162.74
santa rosa de viterbo,2159.19
belo jardim,2157.69
jandaia do sul,2156.75
maragogi,2135.53
eldorado do sul,2127.04
charqueadas,2125.02
osvaldo cruz,2124.36
nova granada,2122.45
ceres,2116.38
bandeirantes,2113.63
esperanca,2108.09
engenheiro navarro,2106.55
fartura,2106.41
cajati,2100.69
ipua,2096.16
passa quatro,2092.36
casa nova,2092.32
itaguacu,2087.09
niquelandia,2085.86
bom jesus dos perdoes,2083.9300000000003
quatro barras,2079.83
camocim,2078.27
eloi mendes,2077.95
santo amaro,2066.74
agrestina,2066.34
pariquera-acu,2065.21
iturama,2064.08
santa vitoria do palmar,2049.67
esmeraldas,2043.24
sape,2042.83
loanda,2042.79
itaocara,2042.5
leopoldina,2038.21
camaqua,2037.22
itamarandiba,2036.27
conceicao de macabu,2035.17
pinhalao,2032.35
auriflama,2029.77
mangueirinha,2022.94
miracema,2021.97
guaratuba,2017.31
paranaita,2016.47
sao francisco do sul,2012.77
canaa dos carajas,1991.3600000000001
castelo,1990.94
ampere,1985.95
parobe,1985.07
pontes e lacerda,1972.9
sao joao do piaui,1972.72
itai,1972.66
carmo do rio claro,1969.5300000000002
sao joaquim de bicas,1965.51
